Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete,Government,Private,Semiprivate,University/Academic Hospital,Non-academic Hospital,District Hospital,Community Hospital/Secondary,-,Community,District,Government.1,Hospital,Hospital/Secondary,Non-academic,Other.1,Private.1,Semiprivate.1,University/Academic,-.1,Community.1,District.1,Government.2,Hospital.1,Hospital/Secondary.1,Non-academic.1,Other.2,Private.2,Semiprivate.2,University/Academic.1
SC-2872991,Yes,Barbados,Bridgetown,Pediatric,Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,,,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,0,,,Somewhat Familiar,C: Choice of Analgesia and Sedation,No,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Videos Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,Physician,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,No,Midazolam Lorazepam Chloral hydrate,,No,No,No,Within 4-6 days of admission,Daily,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,1,6,1,5,1,5,6,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2873000,Yes,Nigeria,Lagos,Pediatric,Cardiac Thoracic ICU,,Private,,Less than 10 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,3 - 5 years,Yes,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,"I have heard of it, but I don't know much about it","A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation None of them",No,Compliant on most patients,Non-Compliant,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Propofol Ketamine Chloral hydrate,,No,Yes,No,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,I don't know,I don't know,No,No,Yes,No,Yes,Yes,2,3,1,1,4,6,7,.,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2873016,Yes,USA,St Louis,Adult,Surgical ICU Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,University/Academic Hospital,,31 - 40 beds,1 nurse to 2 patients,Yes,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,11 - 15 years,Yes,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",I don't know,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,No,Lectures Handouts,Lectures,Lectures Handouts,No,Simulations,Physician Advanced Practice Provider,Physician Advanced Practice Provider Respiratory Therapist,Physician Advanced Practice Provider,Physician Advanced Practice Provider Registered Nurse,Advanced Practice Provider,Physician Advanced Practice Provider Registered Nurse,Yes,Fentanyl Hydromorphone Ketamine Methadone Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,No,Yes,Yes,Yes,I don't know,I don't know,Yes,Yes,6,2,5,4,Not a Barrier,2,1,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2873018,Yes,Panama,Panama City,Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government Private University/Academic Hospital,,31 - 40 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility,No,Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Non-Compliant,Videos Lectures,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,No,Fentanyl Morphine Ketamine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Ketamine,,Yes,Yes,Yes,Within 4-6 days of admission,Daily,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,8,8,8,5,5,5,5,no tenemos cubiculos cerrados,Completed,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
SC-2873024,Yes,USA,Shreveport,Adult,Medical ICU,,University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,medical students,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Lectures,Lectures Handouts,Lectures Handouts,Lectures Handouts,Lectures,Lectures,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Hydromorphone Morphine Ketamine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Not a Barrier,Not a Barrier,7,7,1,Not a Barrier,Not a Barrier,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2873029,Yes,USA,Kettering,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU,,Non-academic Hospital,,>40 beds,1 nurse to 2 patients,Yes,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Lectures Handouts,Lectures Handouts,Lectures Handouts,Lectures Handouts,Lectures Handouts,Lectures Handouts,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Advanced Practice Provider,Physician Advanced Practice Provider Registered Nurse,Advanced Practice Provider Registered Nurse,Physician Advanced Practice Provider Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 4-6 days of admission,Variable,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,5,5,2,5,5,2,8,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
SC-2873033,Yes,USA,Charlotte,Adult,Surgical ICU,,University/Academic Hospital,,21 - 30 beds,1 nurse to 2 patients,Yes,Respiratory Therapist,,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility",Yes,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,Compliant on some patients,Non-Compliant,Videos Lectures Handouts,Videos Lectures Handouts,Lectures,Lectures,Videos Lectures,Lectures,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse Respiratory Therapist,Yes,Fentanyl Ketamine,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,No,No,Within 1-3 days of admission,Daily,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,7,7,5,7,7,8,7,"Very weak in family involvement and updates. Mobility is also a weakness at times due to staffing, time, other responsibilities for sicker patients.",Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2873042,Yes,USA,New York,Adult,Surgical ICU,,University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,Yes,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,0,PAs,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures Handouts,Lectures Handouts,Lectures Handouts,Lectures Handouts,Lectures Handouts,Lectures Handouts,Physician Advanced Practice Provider,Physician Advanced Practice Provider,Physician Advanced Practice Provider,Physician Advanced Practice Provider,Physician,Physician,Yes,Fentanyl Hydromorphone Ketamine Methadone Remifentanyl Paracetamol,,Yes,Yes,Yes,Midazolam Lorazepam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2873064,Yes,Puerto Rico,Caguas,Adult,Other,Neurosurgical,Private,,>40 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,Yes,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Fully Compliant (on all eligible patients),No,No,No,No,No,No,Physician,Physician,Physician,Physician,Registered Nurse,Registered Nurse,Yes,Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol,,Yes,Yes,No,Within 1-3 days of admission,Every other day,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,6,6,8,7,3,5,5,N/a,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2873067,Yes,India,Hyderabad,Adult,Medical-Surgical Mixed ICU,,Semiprivate,,21 - 30 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,>15 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SC-2873068,Yes,Peru,Trujillo,Adult,Medical ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,I don't know,Physician (Consultant/Attending),,3 - 5 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,"B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management",No,Compliant on some patients,Non-Compliant,Compliant on some patients,I don't know,I don't know,Non-Compliant,Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,Physician,Physician,No,Fentanyl,,No,I don't know,Yes,Midazolam Propofol,,Yes,No,Yes,Within 4-6 days of admission,Daily,No,Yes,Yes,Yes,No,No,No,No,I don't know,No,Yes,1,1,1,5,3,3,3,All member should be standarize definitions,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2873070,Yes,USA,St. Charles,Adult,Medical-Surgical Mixed ICU,,Community Hospital/Secondary,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Handouts,Handouts,Handouts,Handouts,Handouts,Handouts,Physician,Physician,Physician,Physician Registered Nurse,Physician,Physician,Yes,Fentanyl Hydromorphone Morphine Ketamine,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,5,5,8,8,5,6,6,Nursing education,Completed,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SC-2873073,Yes,USA,Summit,Adult,Other,Neuro,Community Hospital/Secondary,,11 - 20 beds,1 nurse to 2 patients,Yes,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,0,,,Very Familiar,None of them,No,Compliant on most patients,Non-Compliant,Compliant on most patients,Compliant on some patients,Compliant on some patients,Fully Compliant (on all eligible patients),Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Hydromorphone Morphine Methadone Nonsteroidal anti-inflammatory drugs Other,"Gabapentin, steroids for headache",Yes,Yes,Yes,Propofol Dexmedetomidine,,I don't know,Yes,Yes,Within 1-3 days of admission,Daily,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,2,6,1,7,8,5,2,N/a,Completed,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SC-2873075,Yes,USA,"Indiana, PA",Adult,Medical-Surgical Mixed ICU,,Community Hospital/Secondary,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,Yes,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation,No,Compliant on some patients,Compliant on most patients,Compliant on some patients,Non-Compliant,Compliant on some patients,Compliant on most patients,No,No,Lectures,No,No,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician,Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,I don't know,Fentanyl Hydromorphone Morphine Ketamine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Lorazepam Propofol Ketamine Dexmedetomidine,,No,No,Yes,Within 4-6 days of admission,Every other day,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,4,3,8,8,8,3,8,,Completed,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SC-2873076,Yes,Iraq,Baghdad,Pediatric,Pediatric ICU,,Government Private,,Less than 10 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility F: Family Engagement",No,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,No,No,No,No,No,No,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,,Physician Advanced Practice Provider,Physician Advanced Practice Provider Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Dexmedetomidine Chloral hydrate,,No,Yes,Yes,Within 1-3 days of admission,Multiple times a day,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Not a Barrier,Not a Barrier,7,5,Not a Barrier,5,5,We don't have written protocols but still some parts are rigourously implemented and some are not bit we still feel it is helpful in both the countries where my team works,Completed,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
SC-2873078,Yes,Jordan,Amman,Both Adult and Pediatric,Medical ICU Pediatric ICU,,University/Academic Hospital,,21 - 30 beds,1 nurse to 1 patient,No,Pharmacist,,>15 years,Yes,,,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain",No,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician,Physician,Physician Training MD Intern / Resident / Fellow Registered Nurse,,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 4-6 days of admission,Variable,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,7,6,6,6,6,8,8,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
