Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete
SC-2939925,Yes,Nigeria,"Ikeja, lagos",Both Adult and Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government Private University/Academic Hospital,,11 - 20 beds,1 nurse to 3-5 patients,No,Other,Registered Critical Care Nurse,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,"Neurologist, Nephrologist",Respiratory therapist,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures Handouts Simulations,Lectures Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Advanced Practice Provider Registered Nurse,Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Registered Nurse,Yes,Fentanyl Morphine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,5,2,3,5,5,3,3,Inadequate Staff with high inflow of patients care,Completed
SC-2895730,Yes,Nigeria,Suburban,Pediatric,Pediatric ICU,,Government University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes, - , - , - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,I have never heard of it,None of them,No,Non-Compliant,Non-Compliant,Non-Compliant,Non-Compliant,Non-Compliant,Non-Compliant,No,No,No,No,No,No,,,,,,,Yes,Morphine Paracetamol,,I don't know,I don't know,I don't know,Midazolam Diazepam Propofol Ketamine Other,"Phenytoin Sodium, Phenobarbitone",I don't know,I don't know,No,Within 4-6 days of admission,Variable,I don't know,I don't know,I don't know,I don't know,I don't know,No,No,Yes,No,No,Yes,6,Not a Barrier,Not a Barrier,6,Not a Barrier,Not a Barrier,Not a Barrier,The main barrier is the lack of knowledge and the implementation where the knowledge exists,Completed
SC-2873000,Yes,Nigeria,Lagos,Pediatric,Cardiac Thoracic ICU,,Private,,Less than 10 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,3 - 5 years,Yes, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,"I have heard of it, but I don't know much about it","A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation None of them",No,Compliant on most patients,Non-Compliant,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Propofol Ketamine Chloral hydrate,,No,Yes,No,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,I don't know,I don't know,No,No,Yes,No,Yes,Yes,2,3,1,1,4,6,7,.,Completed
SC-2912101,Yes,Nigeria,Lagos,Adult,Medical-Surgical Mixed ICU,,Private,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on some patients,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Physician Registered Nurse Respiratory Therapist,Registered Nurse Respiratory Therapist,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Yes,Fentanyl Hydromorphone Morphine Ketamine,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,8,3,4,8,3,Not a Barrier,2,N/a,Completed
SC-2895467,Yes,Oman,Muscat,Pediatric,Surgical ICU Medical ICU Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government Private University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,3 - 5 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,Somewhat Familiar,None of them,I don't know,I don't know,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,Non-Compliant,Fully Compliant (on all eligible patients),No,No,Lectures,Lectures,No,No,Physician,Physician,Physician,Physician,Physician,Physician Registered Nurse,I don't know,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,No,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine Chloral hydrate,,No,Yes,Yes,Never,Variable,No,Yes,No,No,I don't know,Yes,Yes,Yes,No,Yes,Yes,Not a Barrier,3,Not a Barrier,3,Not a Barrier,2,2,,Completed
SC-2895494,Yes,Oman,Muscat,Both Adult and Pediatric,Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 1 patient,Yes,Registered Nurse,,>15 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,,Very Familiar,B: Spontaneous Breathing Trial,No,Non-Compliant,Non-Compliant,Non-Compliant,Non-Compliant,Non-Compliant,Non-Compliant,No,Videos,Handouts,Videos,Handouts,Videos,Physician,Physician,Physician,Physician,Respiratory Therapist,Registered Nurse,Yes,Fentanyl Morphine,,Yes,Yes,Yes,Midazolam Propofol Ketamine,,Yes,No,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,No,No,No,I don't know,Yes,Yes,Yes,Yes,4,4,Not a Barrier,6,5,4,5,,Completed
SC-2895751,Yes,Oman,Muscat,Pediatric,Medical ICU,,Government University/Academic Hospital,,11 - 20 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,3 - 5 years,Yes, - , - ,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,"I have heard of it, but I don't know much about it","B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Non-Compliant,Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,Lectures,Lectures Handouts,Lectures,Lectures Handouts,Lectures Handouts,Physician Registered Nurse,Physician,Physician,Physician,Physician Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Remifentanyl Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 7-10 days of admission,Daily,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,8,8,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Only education barrier,Completed
SC-2873018,Yes,Panama,Panama City,Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government Private University/Academic Hospital,,31 - 40 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility,No,Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Non-Compliant,Videos Lectures,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,No,Fentanyl Morphine Ketamine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Ketamine,,Yes,Yes,Yes,Within 4-6 days of admission,Daily,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,8,8,8,5,5,5,5,no tenemos cubiculos cerrados,Completed
SC-2911919,Yes,Panama,Panama City,Adult,Other,Obstetrics,Government,,Less than 10 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,Very Familiar,None of them,No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Remifentanyl Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 1-3 days of admission,Daily,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,1,6,7,5,1,2,,Completed
SC-2882912,Yes,Papua New Guinea,ICU,Both Adult and Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,Yes,Registered Nurse,,>15 years,Yes, - , - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - , - , - ,,,"I have heard of it, but I don't know much about it","A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility",No,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Non-Compliant,Compliant on some patients,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Registered Nurse,Physician Registered Nurse,No,Fentanyl Morphine Paracetamol,,Yes,Yes,No,Midazolam Diazepam Propofol,,No,No,Yes,Within 7-10 days of admission,Variable,No,Yes,No,I don't know,I don't know,No,Yes,No,No,No,Yes,7,6,5,4,5,7,6,,Completed
SC-2873068,Yes,Peru,Trujillo,Adult,Medical ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,I don't know,Physician (Consultant/Attending),,3 - 5 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,"B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management",No,Compliant on some patients,Non-Compliant,Compliant on some patients,I don't know,I don't know,Non-Compliant,Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,Physician,Physician,No,Fentanyl,,No,I don't know,Yes,Midazolam Propofol,,Yes,No,Yes,Within 4-6 days of admission,Daily,No,Yes,Yes,Yes,No,No,No,No,I don't know,No,Yes,1,1,1,5,3,3,3,All member should be standarize definitions,Completed
SC-2881432,Yes,Peru,Lima,Adult,Medical-Surgical Mixed ICU,,Government,,31 - 40 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,Yes, - , - , - , - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Active Participation / Present During Rounds, - ,,,Very Familiar,None of them,No,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,Non-Compliant,Compliant on some patients,Lectures,Lectures,Lectures,Lectures,Videos Lectures,Videos Lectures,Physician,Physician,Physician,Physician,Physician,Registered Nurse,No,Fentanyl Morphine Ketamine Paracetamol Other,Tramadol,Yes,Yes,Yes,Midazolam Propofol Ketamine,,No,No,Yes,Within 4-6 days of admission,Daily,No,Yes,No,No,No,No,No,No,No,No,Yes,8,8,2,3,3,2,5,,Completed
SC-2885993,Yes,Peru,Lima,Pediatric,Pediatric ICU,,Government Private,,Less than 10 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,3 - 5 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,,,"I have heard of it, but I don't know much about it",None of them,No,Fully Compliant (on all eligible patients),I don't know,Compliant on most patients,Fully Compliant (on all eligible patients),Non-Compliant,Non-Compliant,No,No,No,No,No,No,Physician,,,,,,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,I don't know,I don't know,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,No,I don't know,Within 7-10 days of admission,Every other day,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,8,4,3,4,2,8,8,N/a,Completed
SC-2873064,Yes,Puerto Rico,Caguas,Adult,Other,Neurosurgical,Private,,>40 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,Yes, - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - , - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Fully Compliant (on all eligible patients),No,No,No,No,No,No,Physician,Physician,Physician,Physician,Registered Nurse,Registered Nurse,Yes,Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol,,Yes,Yes,No,Within 1-3 days of admission,Every other day,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,6,6,8,7,3,5,5,N/a,Completed
SC-2911916,Yes,Puerto Rico,San Juan,Adult,Medical ICU,,Government,,11 - 20 beds,1 nurse to 3-5 patients,No,Training MD (Intern/Resident/Fellow),,<2 years,Yes, - , - , - , - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",No,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on some patients,Fully Compliant (on all eligible patients),Lectures,Lectures,Lectures,Lectures,Lectures,Lectures Handouts,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol,,Yes,No,Yes,Within 4-6 days of admission,Never,No,Yes,Yes,No,I don't know,Yes,No,Yes,Yes,No,Yes,6,7,8,8,5,6,7,,Completed
SC-2912070,Yes,Puerto Rico,Caguas,Adult,Other,Neurosurgical,Private Non-academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,Yes, - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Active Participation / Present During Rounds,Clinical Nurse Specialist,,Very Familiar,"A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation E: Early Mobility",No,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Physician Registered Nurse,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Yes,Fentanyl Morphine Paracetamol Other,"Percocet, neurontin, lyrica",Yes,Yes,Yes,Midazolam Propofol,,Yes,Yes,No,Within 1-3 days of admission,Daily,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,5,6,7,7,6,3,4,Rapid turn over iof staff,Completed
SC-2886018,Yes,Rwanda,Kigali,Pediatric,Cardiac Thoracic ICU Pediatric ICU,,Semiprivate,,Less than 10 beds,1 nurse to 1 patient,No,Other,Pediatric Intensivist,6 - 10 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds, - , - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",No,Non-Compliant,Compliant on most patients,Compliant on most patients,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on most patients,Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician Registered Nurse,Physician,Physician,Physician,Physician,Physician Registered Nurse,Yes,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,No,No,No,Within 1-3 days of admission,Multiple times a day,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,1,4,2,6,Not a Barrier,5,Not a Barrier,Not implemented well,Completed
SC-2935750,Yes,Rwanda,Kigali,Both Adult and Pediatric,Surgical ICU Medical ICU Medical-Surgical Mixed ICU,,Government Semiprivate University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,Yes,Training MD (Intern/Resident/Fellow),,3 - 5 years,No,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2882150,Yes,Rwanda,South province,Both Adult and Pediatric,Surgical ICU Medical ICU Medical-Surgical Mixed ICU Pediatric ICU,,Government University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,3 - 5 years,No, - , - , - , - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,,,Somewhat Familiar,B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility,Yes,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Non-Compliant,Compliant on most patients,No,No,Lectures,Lectures,No,No,Physician,Physician,Physician,Physician,Physician Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse Respiratory Therapist,Yes,Fentanyl Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Ketamine,,No,Yes,No,Never,Never,No,No,No,No,No,Yes,No,No,No,No,Yes,6,6,1,1,8,6,6,,Completed
SC-2882610,Yes,Rwanda,Kigali,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,No, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,I have never heard of it,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility F: Family Engagement",No,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on most patients,Fully Compliant (on all eligible patients),No,No,No,No,No,No,Registered Nurse,Registered Nurse,Physician,Physician,Registered Nurse,Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Ketamine,,No,I don't know,No,Within 1-3 days of admission,Daily,No,No,No,No,No,No,No,No,Yes,No,Yes,4,4,6,6,1,7,1,"Limited training in Critical Care for all: Physicians, Nurses...",Completed
